trajectory,method,n,q25,median,q75
VI,Huber,501,10.536361123153995,14.423872613903598,17.39810431114668
VI,Patch,501,39.326245447293815,43.5102795086748,48.16699354162495
VI,Full,501,77.53603090197329,83.05314334223371,90.35504316691312
VI,EstFull,501,76.79015809872098,82.67547644257742,89.68077216796515
IV,Huber,156,19.68174149817277,24.58977859305496,34.332044385123154
IV,Patch,156,27.53242508120094,33.630700956669884,39.26552404078118
IV,Full,156,59.85068133438349,74.44839356625735,81.49905158833671
IV,EstFull,156,58.59398154081401,71.98736287987606,80.10363778906182
II,Huber,428,12.956814432796724,20.083720612890968,32.40309828052547
II,Patch,428,10.083481827802766,19.1030687120173,29.896330654032127
II,Full,428,-15.55835917459074,0.7890331893236393,20.36271414542319
II,EstFull,428,-19.067278079831283,-0.26711259782974395,18.514759844739782
III,Huber,371,6.035444926092325,14.356682095830394,24.123518255735974
III,Patch,371,20.228785937844584,28.929768382518283,38.87892117421381
III,Full,371,-19.307516551522546,21.9382748470042,39.16923319825216
III,EstFull,371,-18.706744000959727,21.59180627014775,38.10202944459026
